               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.038804,            0.037515,            0.001727,             0.97338,             0.93538,              0.9621,             0.57989,             0.03324,            0.034047,           0.0017311,           0.0065365,           0.0065365,            0.036436
                  54,            0.038887,            0.039853,           0.0016847,              0.9707,             0.89821,             0.97179,             0.59694,            0.033425,            0.034343,           0.0013914,           0.0066398,           0.0066398,             0.03524
                  55,            0.039703,            0.041077,           0.0015636,             0.92478,              0.9174,             0.95284,             0.57515,            0.034802,            0.034504,           0.0015135,           0.0067422,           0.0067422,            0.034042
                  56,            0.037921,            0.039946,           0.0017046,             0.95164,              0.9504,             0.97434,             0.58598,            0.032645,             0.03219,           0.0014074,           0.0068436,           0.0068436,            0.032844
                  57,            0.039729,            0.040368,           0.0015493,             0.84149,              0.8768,             0.84921,             0.54453,            0.032711,            0.033991,           0.0013804,           0.0069441,           0.0069441,            0.031644
                  58,            0.038368,            0.040302,            0.001639,             0.92058,             0.88635,             0.92075,             0.56903,            0.032734,            0.033848,           0.0013292,           0.0070435,           0.0070435,            0.030444
                  59,            0.037282,            0.038452,           0.0014942,             0.94274,             0.93769,             0.94947,             0.57007,            0.030503,            0.033153,           0.0013193,           0.0071419,           0.0071419,            0.029242
                  60,            0.036519,            0.037469,           0.0014866,             0.90295,             0.93794,             0.95028,             0.59866,            0.030248,             0.03332,           0.0013266,           0.0072393,           0.0072393,            0.028039
                  61,            0.037269,            0.038427,           0.0016124,             0.96406,             0.90347,             0.94644,             0.60758,            0.028908,            0.031937,           0.0011933,           0.0073357,           0.0073357,            0.026836
                  62,            0.036873,            0.040325,            0.001405,             0.95291,             0.91952,             0.93646,             0.56197,            0.030602,             0.03245,           0.0012614,            0.007431,            0.007431,            0.025631
                  63,            0.036681,            0.037284,           0.0014793,             0.92925,             0.92322,              0.9447,              0.5982,            0.029851,            0.031536,           0.0011881,           0.0075253,           0.0075253,            0.024425
                  64,            0.036142,            0.036345,           0.0014404,             0.96447,             0.89086,             0.94622,             0.59103,            0.030209,            0.030823,           0.0012388,           0.0076185,           0.0076185,            0.023218
                  65,            0.036837,             0.03789,           0.0014143,             0.97139,             0.92685,             0.95869,             0.63441,            0.030127,            0.030519,           0.0011661,           0.0077106,           0.0077106,            0.022011
                  66,            0.035855,            0.037663,           0.0013515,             0.92679,             0.92021,              0.9497,             0.58567,            0.032605,            0.032863,           0.0012753,           0.0078016,           0.0078016,            0.020802
                  67,            0.034191,             0.03685,           0.0014212,             0.95782,             0.92099,             0.95685,             0.60104,            0.030653,            0.033173,           0.0012604,           0.0078914,           0.0078914,            0.019591
                  68,            0.036087,            0.037155,           0.0012537,             0.94023,             0.92953,             0.96745,             0.60153,            0.035037,             0.03302,           0.0013004,           0.0079802,           0.0079802,             0.01838
                  69,            0.035055,            0.036825,           0.0013663,             0.91079,             0.91865,             0.94408,             0.58317,            0.031385,            0.032943,           0.0013802,           0.0080678,           0.0080678,            0.017168
                  70,            0.035305,            0.036386,            0.001316,             0.94904,             0.92242,             0.96067,             0.59787,            0.032204,             0.03228,           0.0010396,           0.0081543,           0.0081543,            0.015954
                  71,            0.033959,            0.037172,           0.0012926,             0.97665,              0.8417,             0.89475,              0.5658,             0.03048,            0.034914,           0.0011536,           0.0082396,           0.0082396,             0.01474
                  72,             0.03385,            0.034978,           0.0012955,             0.94279,             0.91655,             0.94006,             0.55034,            0.030481,             0.03289,           0.0012752,           0.0083238,           0.0083238,            0.013524
                  73,            0.034362,            0.037262,           0.0012945,             0.93186,             0.94366,             0.95934,             0.57468,            0.029238,             0.03275,            0.001054,           0.0084068,           0.0084068,            0.012307
                  74,            0.033094,            0.036723,           0.0011878,             0.95009,             0.94419,             0.97119,             0.54313,            0.033556,            0.033953,           0.0011226,           0.0084885,           0.0084885,            0.011089
                  75,            0.033598,            0.036971,           0.0012052,             0.93896,              0.9241,             0.96252,             0.61387,            0.030287,            0.032685,          0.00090692,           0.0085691,           0.0085691,           0.0098691
                  76,            0.034573,            0.038136,           0.0011933,             0.85938,             0.79228,             0.81825,             0.52858,            0.032091,            0.037917,           0.0013793,           0.0086485,           0.0086485,           0.0086485
                  77,            0.034082,             0.03744,           0.0010514,              0.9292,             0.91168,             0.91846,              0.5625,            0.029555,            0.038577,          0.00097918,           0.0086485,           0.0086485,           0.0086485
                  78,            0.032122,            0.035923,           0.0011026,              0.9579,             0.94111,             0.97555,             0.63889,             0.02866,            0.033789,           0.0009348,           0.0086146,           0.0086146,           0.0086146
                  79,            0.032997,            0.037099,           0.0011498,             0.92343,             0.90937,             0.92956,             0.55908,            0.030132,            0.034691,           0.0011578,           0.0085805,           0.0085805,           0.0085805
                  80,            0.033517,            0.037069,           0.0010895,             0.91928,             0.90102,             0.94236,              0.6242,            0.027566,            0.031419,          0.00091443,           0.0085459,           0.0085459,           0.0085459
                  81,            0.033128,            0.036601,            0.001053,             0.94487,             0.92349,             0.94373,             0.61392,            0.027715,            0.031476,          0.00090951,           0.0085111,           0.0085111,           0.0085111
                  82,             0.03134,            0.037275,           0.0010403,             0.95865,             0.95611,             0.97592,             0.62408,             0.02719,            0.031191,          0.00093696,           0.0084759,           0.0084759,           0.0084759
                  83,            0.031922,            0.036844,          0.00093448,             0.94472,             0.88933,             0.91794,             0.57806,            0.029202,            0.031052,          0.00092016,           0.0084404,           0.0084404,           0.0084404
                  84,            0.031813,            0.036064,           0.0010088,             0.87462,             0.86197,             0.87909,             0.60455,            0.028164,            0.032323,          0.00087519,           0.0084046,           0.0084046,           0.0084046
                  85,            0.031533,            0.035035,           0.0010319,             0.97584,             0.88633,             0.93944,             0.60678,            0.029386,            0.032271,          0.00087947,           0.0083684,           0.0083684,           0.0083684
                  86,            0.031924,            0.036942,          0.00088786,             0.94207,              0.8726,             0.92746,             0.61817,            0.026981,              0.0306,          0.00082576,           0.0083319,           0.0083319,           0.0083319
                  87,            0.030362,            0.035187,           0.0010056,             0.95291,             0.89224,             0.92216,             0.61365,            0.027399,            0.031735,          0.00092454,           0.0082952,           0.0082952,           0.0082952
                  88,            0.031143,            0.036337,          0.00086236,             0.93719,             0.92732,             0.96429,             0.64778,            0.027322,            0.029951,          0.00074394,           0.0082581,           0.0082581,           0.0082581
                  89,            0.030492,            0.035318,          0.00089765,             0.96422,             0.91442,             0.93177,             0.60341,            0.027833,            0.031781,           0.0007813,           0.0082207,           0.0082207,           0.0082207
                  90,            0.030074,            0.034495,          0.00087993,             0.94962,             0.93908,              0.9504,             0.65034,            0.027959,            0.033501,          0.00085937,            0.008183,            0.008183,            0.008183
                  91,            0.031505,            0.034603,           0.0009394,             0.92715,             0.92198,             0.96623,             0.61867,            0.029753,            0.032125,          0.00073047,            0.008145,            0.008145,            0.008145
                  92,            0.030537,            0.036227,          0.00095912,             0.91831,             0.93943,              0.9597,             0.61317,            0.028124,            0.032399,          0.00089502,           0.0081068,           0.0081068,           0.0081068
                  93,            0.030568,            0.034417,          0.00085007,             0.95935,             0.94768,             0.97667,             0.62676,            0.028097,            0.032642,          0.00079491,           0.0080682,           0.0080682,           0.0080682
                  94,            0.030351,            0.034099,          0.00071844,             0.93403,             0.89103,             0.92957,             0.63132,            0.027223,            0.032846,          0.00081056,           0.0080294,           0.0080294,           0.0080294
                  95,            0.029008,            0.034901,          0.00080877,              0.8979,             0.88087,             0.88722,             0.59977,            0.028577,            0.032345,          0.00077935,           0.0079903,           0.0079903,           0.0079903
                  96,            0.028346,            0.033078,          0.00077692,             0.90494,             0.85754,             0.86845,             0.59266,            0.026993,            0.031011,          0.00071664,           0.0079509,           0.0079509,           0.0079509
